input_video,output 0,output 1,Detected face sequence,flag,username,timestamp
C:\Users\hardi\Downloads\FactGuard-main\deepfake_video_app\flagged\input_video\3f2ba824c84ef29108ea0eb584a073c9e31c9753\Video3-fake-3-ff.mp4,The video is FAKE.,Deepfakes Confidence: 100.0%,C:\Users\hardi\Downloads\FactGuard-main\deepfake_video_app\flagged\Detected face sequence\e22ceecf0d844b2ccb39c7b3b89c859b77f3fd4c\video.mp4,,,2023-10-23 20:34:59.636237
C:\Users\hardi\Downloads\FactGuard-main\deepfake_video_app\flagged\input_video\69dc5c62161c38121eabe428cc65e51f577381c9\tmp6jw83off.mp4,,,,,,2023-10-23 20:41:27.514986
